2012,2011,Company,Country,Sector,value,turnover,netincome,totalasset,employees,price,P/E,dividend,Year End
116,133,United Parcel Service,US,Industrial transportation,"58,430.3","53,206.0","3,804.0","34,583.0","398,000",80.7,21,2.6,31/12/2011
117,60,GDF Suez,France,"Gas, water & multiutilities","58,104.4","117,452.4","5,185.3","274,652.2","240,303",25.8,11,7.6,31/12/2011
118,108,Bayer,Germany,Chemicals,"58,077.3","47,316.2","3,199.5","66,650.4","111,800",70.2,18.1,3,31/12/2011
119,141,BMW,Germany,Automobiles & parts,"57,218.8","89,146.6","6,322.6","157,387.7","100,306",89.8,9.3,3.3,31/12/2011
120,67,BNP Paribas,France,Banks,"57,214.7",N/R,"7,471.5","2,533,607.3","198,423",47.4,7.6,3.3,31/12/2011
121,123,National Australia Bank,Australia,Banks,"57,064.8",N/R,"5,042.5","726,097.8","44,645",25.5,11.2,6.6,30/09/2011
122,177,Bristol Myers Squibb,US,Pharmaceuticals & biotechnology,"56,953.8","21,244.0","3,701.0","32,282.0","27,000",33.8,15.6,3.9,31/12/2011
123,238,Japan Tobacco,Japan,Tobacco,"56,625.5","29,908.4","1,743.9","41,979.9","48,472","5,662.6",31,1.2,31/03/2011
124,111,AstraZeneca,UK,Pharmaceuticals & biotechnology,"56,544.9","32,415.9","9,633.8","51,316.2","57,200",44.4,6.3,6.1,31/12/2011
125,135,Boeing,US,Aerospace & defence,"55,459.2","68,735.0","4,018.0","74,094.0","171,700",74.4,14,2.3,31/12/2011
126,110,Allianz,Germany,Nonlife insurance,"54,245.4",N/R,"3,296.6","811,241.7","141,938",119.1,16.3,4.9,31/12/2011
127,156,Amgen,US,Pharmaceuticals & biotechnology,"53,793.6","15,582.0","3,683.0","48,871.0","17,800",68,16.8,1.4,31/12/2011
128,98,UBS,Switzerland,Banks,"53,632.2",N/R,"4,433.9","1,503,879.0","64,820",14,11.9,0.8,31/12/2011
129,163,Hennes & Mauritz,Sweden,General retailers,"52,700.5","16,257.9","2,338.3","8,713.4","64,874",36.1,25.4,3.9,30/11/2011
130,102,Deutsche Telekom,Germany,Mobile telecommunications,"51,945.5","75,975.6",721.5,"152,970.6","235,132",12,70.7,7.6,31/12/2011
131,107,Ping An Insurance,China,Life insurance,"51,462.7",N/R,"3,094.2","359,728.0","175,136",7.6,18.9,0.8,31/12/2011
132,118,Lukoil,Russia,Oil & gas producers,"51,457.5","101,287.9","9,414.1","90,601.0","1,962",60.5,5,,31/12/2011
133,165,Union Pacific,US,Industrial transportation,"51,455.7","19,557.0","3,292.0","45,096.0","44,861",107.5,16,1.8,31/12/2011
134,178,Tencent Holdings,Hong Kong,Software & computer services,"51,338.0","4,527.5","1,621.1","8,993.6","17,446",27.9,31.3,0.4,31/12/2011
135,97,Xstrata,UK,Mining,"51,237.8","32,691.9","5,513.2","74,788.2","40,391",17.1,9.1,2.1,31/12/2011
136,287,Mastercard,US,Financial services,"51,026.5",N/R,"1,906.0","10,605.0","6,700",420.5,28.3,0.1,31/12/2011
137,95,Suncor Energy,Canada,Oil & gas producers,"50,844.4","38,565.6","4,219.6","73,251.8","13,026",32.6,12.1,1.3,31/12/2011
138,309,Nike,US,Personal goods,"49,764.6","20,892.0","2,133.0","14,438.0","38,000",108.4,24.7,1.1,31/05/2011
139,100,Anglo American,UK,Mining,"49,569.0","29,510.3","5,953.2","71,912.2","100,000",37.3,7.6,1.9,31/12/2011
140,146,E I Du Pont de Nemours,US,Chemicals,"49,463.8","37,976.0","3,474.0","44,425.0","70,000",52.9,14.4,3.1,31/12/2011
141,171,News Corp,US,Media,"48,971.4","33,405.0","2,739.0","61,830.0","51,000",19.7,17.3,0.9,30/06/2011
142,202,Nissan Motor,Japan,Automobiles & parts,"48,396.0","105,540.3","3,840.2","128,323.8","155,099",10.7,11.6,1.1,31/03/2011
143,86,Reliance Industries,India,Oil & gas producers,"48,199.9","59,503.6","4,331.4","69,038.0","22,661",14.7,10.2,1.2,31/03/2011
144,116,E On,Germany,"Gas, water & multiutilities","47,856.6","146,313.8","-2,874.4","191,347.6","78,889",23.9,,5.4,31/12/2011
145,201,eBay,US,General retailers,"47,604.8","11,677.5","3,229.4","27,320.2","27,770",36.9,15,,31/12/2011
146,127,ABB,Switzerland,Industrial engineering,"47,428.6","35,599.9","2,967.8","39,615.1","133,600",20.5,15.8,3.4,31/12/2011
147,173,Honeywell International,US,General industrials,"47,391.7","36,500.0","2,067.0","37,676.0","132,000",61.1,25.5,2.2,31/12/2011
148,64,Hewlett-Packard,US,Technology hardware & equipment,"47,120.0","127,245.0","7,074.0","128,234.0","349,600",23.8,7.2,1.7,31/10/2011
149,181,Sumitomo Mitsui Financial,Japan,Banks,"46,788.6",N/R,"5,725.0","1,650,015.1","27,523",33.1,8.2,3.7,31/03/2011
150,197,Eli Lilly,US,Pharmaceuticals & biotechnology,"46,723.8","24,286.5","4,347.7","33,659.8","38,080",40.3,10.3,4.9,31/12/2011
151,125,Ford Motor,US,Automobiles & parts,"46,719.4",136264,20213,"165,014.0","164,000",12.5,2.5,0.4,31/12/2011
152,205,Colgate-Palmolive,US,Personal goods,"46,714.6","16,734.0","2,431.0","12,609.0","38,600",97.8,19.8,2.3,31/12/2011
153,129,Bank of Communications,China,Banks,"46,520.6",N/R,"8,060.8","731,364.5","90,149",0.8,5.8,2.6,31/12/2011
154,132,Deutsche Bank,Germany,Banks,"46,174.7",N/R,"5,352.3","2,791,931.8","100,996",49.7,8.6,2,31/12/2011
