2012,2011,Company,Country,Sector,value,turnover,netincome,totalasset,employees,price,P/E,dividend,Year End
265,190,Repsol YPF,Spain,Oil & gas producers,"30,580.5","79,666.0","2,840.7","88,585.7","46,575",25,10.7,,31/12/2011
266,261,China Citic Bank,China,Banks,"30,532.3",N/R,"4,896.5","438,971.1","37,195",0.6,,5,31/12/2011
267,315,Prudential,UK,Life insurance,"30,432.7",N/R,"2,313.7","418,723.4","25,414",11.9,13.1,3.3,31/12/2011
268,390,Enbridge,Canada,Oil equipment & services,"30,317.8","19,021.5",984.3,"33,629.3","6,934",38.8,29.8,2.5,31/12/2011
269,321,Transcanada,Canada,Oil equipment & services,"30,179.8","9,191.2","1,551.0","47,903.8","4,300",42.9,20,3.9,31/12/2011
270,265,Mitsui,Japan,Support services,"30,161.7","56,293.7","3,689.1","103,265.6","40,026",16.5,8.1,3.5,31/03/2011
271,224,TeliaSonera,Sweden,Mobile telecommunications,"30,110.0","15,128.2","2,658.9","35,634.8","28,412",7,11.4,6,31/12/2011
272,,Biogen Idec,US,Pharmaceuticals & biotechnology,"30,079.3","5,011.7","1,234.4","9,049.6","5,000",126,25,,31/12/2011
273,496,TJX Cos,US,General retailers,"29,952.5","23,191.5","1,496.1","8,281.6","168,000",39.7,20.6,0.6,28/01/2012
274,275,Eog Resources,US,Oil & gas producers,"29,925.4","8,974.0","1,091.1","24,838.8","2,550",111.1,27.1,0.6,31/12/2011
275,222,Cheung Kong Holdings,Hong Kong,Real estate investment & services,"29,921.6",N/R,"5,929.6","48,047.7","10,000",12.9,5,3.2,31/12/2011
276,255,Itausa,Brazil,Financial services,"29,833.0",N/R,"2,596.4","162,639.2","122,000",6.2,11.5,1.6,31/12/2011
277,124,ArcelorMittal,Netherlands,Industrial metals & mining,"29,786.1","87,093.2","2,097.3","115,799.3","260,523",19.1,17.2,3.8,31/12/2011
278,333,Telenor,Norway,Mobile telecommunications,"29,772.6","16,441.3","1,324.6","27,686.4","32,031",18.5,,4.5,31/12/2011
279,307,Denso,Japan,Automobiles & parts,"29,703.5","37,671.5","1,720.7","39,912.2","123,165",33.6,15.7,1.7,31/03/2011
280,285,Formosa Petrochemical,Taiwan,Oil & gas producers,"29,693.5","26,428.0",742.9,"15,090.2","6,426",3.1,39,2.2,31/12/2011
281,300,Prudential Financial,US,Life insurance,"29,666.5",N/R,"3,508.0","624,500.0","50,104",63.4,8.8,2.3,31/12/2011
282,247,Vinci,France,Construction & materials,"29,508.8","48,764.4","2,466.7","78,233.5","183,320",52.1,11.4,4.4,31/12/2011
283,329,Dell,US,Technology hardware & equipment,"29,241.1","62,257.0","3,492.0","44,533.0","109,400",16.6,8.8,,02/03/2012
284,203,Posco,South Korea,Industrial metals & mining,"29,240.5","59,494.1","3,148.3","66,928.4",,335.4,8.2,2.6,31/12/2011
285,373,Henkel,Germany,Household goods & home construction,"29,225.2","20,213.8","1,623.1","23,463.8","47,265",62.3,16.6,1.7,31/12/2011
286,354,Dominion Resources,US,Electricity,"29,221.6","14,125.0","1,408.0","45,614.0","15,800",51.2,20.9,3.8,31/12/2011
287,325,KDDI,Japan,Mobile telecommunications,"29,210.3","41,317.6","3,069.1","43,912.3","18,418","6,513.2",9.3,2.4,31/03/2011
288,250,Boc Hong Kong,Hong Kong,Banks,"29,209.9",N/R,"2,630.4","223,806.1","14,475",2.8,11.1,5.4,31/12/2011
289,223,Intesa Sanpaolo,Italy,Banks,"29,179.8",N/R,"-10,608.8","828,008.5","98,796",1.8,,,31/12/2011
290,323,Lockheed Martin,US,Aerospace & defence,"29,173.3","46,499.0","2,655.0","33,520.0","123,000",89.9,11.5,3.6,31/12/2011
291,387,Hitachi,Japan,Electronic & electrical equipment,"29,165.8","112,069.2","2,873.6","108,928.9","361,745",6.5,10.1,1.1,31/03/2011
292,241,RWE,Germany,"Gas, water & multiutilities","29,163.3","63,669.9","2,339.4","116,625.9","72,068",47.7,11,5.5,31/12/2011
293,426,Allergan,US,Pharmaceuticals & biotechnology,"29,078.9","5,419.1",934.5,"8,356.0","10,000",95.4,31.7,0.2,31/12/2011
294,346,Kimberly-Clark,US,Personal goods,"29,064.0","20,846.0","1,591.0","19,075.0","57,000",73.9,18.5,3.8,31/12/2011
295,219,Woodside Petroleum,Australia,Oil & gas producers,"29,053.7","4,704.7","1,476.5","22,716.9","3,856",36.1,19.3,2.9,31/12/2011
296,305,Fedex,US,Industrial transportation,"29,001.2","39,304.0","1,452.0","27,385.0","270,300",92,20.1,0.5,31/05/2011
297,228,Bank of New York Mellon,US,Financial services,"28,982.0",N/R,"2,480.0","325,266.0","48,700",24.1,11.9,2,31/12/2011
298,166,Unicredit,Italy,Banks,"28,944.7",N/R,,"1,200,481.0","160,360",5,,,31/12/2011
299,231,Walgreen,US,Food & drug retailers,"28,893.5","72,184.0",,"27,488.0","247,000",33.5,11.4,2.2,31/08/2011
300,208,Devon Energy,US,Oil & gas producers,"28,739.6","10,573.0","4,681.0","41,117.0","5,200",71.1,6.3,1.2,31/12/2011
301,276,Atlas Copco,Sweden,Industrial engineering,"28,639.4","11,772.0","1,879.3","10,736.0","37,579",24.1,15.5,3,31/12/2011
302,253,Komatsu,Japan,Industrial engineering,"28,181.6","22,172.8","1,813.6","25,672.3","41,059",28.7,15.3,1.6,31/03/2011
303,400,BT Group,UK,Fixed line telecommunications,"28,159.4","32,173.0","2,407.1","36,985.5","92,600",3.6,11.7,3.3,31/03/2011
304,380,Duke Energy,US,"Gas, water & multiutilities","28,110.6","14,529.0","1,706.0","62,526.0","18,249",21,16.4,4.7,31/12/2011
305,357,Christian Dior,France,Personal goods,"27,841.6","31,901.6","1,656.7","65,343.4","101,154",153.2,16.5,2.2,31/12/2011
306,372,Pernod-Ricard,France,Beverages,"27,637.2","11,092.9","1,516.7","35,181.5","17,926",104.4,18.1,2,30/06/2011
307,341,Illinois Tool Works,US,Industrial engineering,"27,504.7","17,786.6","2,071.4","17,349.7","65,000",57.1,13.6,2.5,31/12/2011
308,,Kinder Morgan,US,Oil equipment & services,"27,321.5","8,329.6",594.4,"30,717.0","8,120",38.7,,1.9,31/12/2011
309,340,DBS Group Holdings,Singapore,Banks,"27,312.2",N/R,"2,340.0","262,681.6","18,000",11.3,11.3,3.8,31/12/2011
310,408,Medco Health Solutions,US,Health care equipment & services,"27,285.1","70,063.3","1,455.7","16,962.8",,70.3,19.1,,31/12/2011
311,304,Cenovus Energy,Canada,Oil & gas producers,"27,080.9","15,388.2","1,449.0","21,758.8","2,810",35.9,18.7,2.2,31/12/2011
312,358,Automatic Data Processing,US,Support services,"27,074.9","9,879.5","1,254.2","34,176.0","51,000",55.2,21.9,2.6,30/06/2011
313,303,Munich Re,Germany,Nonlife insurance,"26,998.4",N/R,909.3,"303,626.4","47,206",150.5,29.5,5.4,31/12/2011
314,251,Southern Copper,US,Industrial metals & mining,"26,952.8","6,818.7","2,336.4","7,917.5","12,145",31.7,11.6,7.6,31/12/2011
315,324,Franklin Resources,US,Financial services,"26,783.4",N/R,"1,915.0","13,775.8","8,453",124,14.4,0.8,30/09/2011
316,210,Ogx Petroleo,Brazil,Oil & gas producers,"26,780.6",,-258.8,"7,551.0",334,8.3,,,31/12/2011
317,,Femsa,Mexico,Beverages,"26,674.1","14,550.2","1,084.4","19,652.2","177,470",8.2,,1.6,31/12/2011
318,365,Kia Motors,South Korea,Automobiles & parts,"26,510.2","37,273.8","2,947.6","26,056.8","32,710",65.4,8.8,0.8,31/12/2011
319,409,Seven & I Holding,Japan,General retailers,"26,476.4","62,614.4","1,369.3","45,390.4","50,765",29.9,19.4,2.3,28/02/2011
320,301,Shanghai Pudong Development Bank,China,Banks,"26,448.9",N/R,"4,335.2","425,865.7","31,231",1.4,,3.5,31/12/2011
321,355,Covidien,US,Health care equipment & services,"26,429.0","11,574.0","1,868.0","20,192.0","41,300",54.7,14.4,1.5,30/09/2011
322,289,China Pacific Insurance,China,Life insurance,"26,421.1",N/R,"1,320.8","89,867.6",,3.1,,1.9,31/12/2011
323,318,General Dynamics,US,Aerospace & defence,"26,386.3","32,677.0","2,526.0","34,573.0","95,100",73.4,10.7,2.6,31/12/2011
324,243,NTPC,India,Electricity,"26,341.1","12,905.0","2,098.7","32,324.3","25,144",3.2,12.8,2.8,31/03/2011
325,500,Qatar National Bank,Qatar,Banks,"26,330.7",N/R,"2,062.3","82,932.0",,37.6,12.1,2.7,31/12/2011
326,308,Express Scripts,US,Health care equipment & services,"26,290.4","46,272.3","1,275.8","15,607.0","13,120",54.2,21.4,,31/12/2011
327,401,China Minsheng Banking,China,Banks,"26,224.1",N/R,"4,435.9","353,044.4","40,820",0.9,,5.5,31/12/2011
328,215,Royal Bank of Scotland,UK,Banks,"26,178.8",N/R,"-3,100.9","2,333,841.3","146,800",0.4,,,31/12/2011
329,339,Centrica,UK,"Gas, water & multiutilities","26,154.5","35,441.1",653.7,"30,021.8","39,432",5.1,36.1,4.7,31/12/2011
330,207,State Bank of India,India,Banks,"26,129.7",N/R,"2,398.8","369,603.1","222,933",41.2,10.9,1.6,31/03/2011
331,351,Saic Motor,China,Automobiles & parts,"25,962.0","67,625.2","3,212.9","49,592.0","5,379",2.4,,2.1,31/12/2011
332,443,Tyco International,US,General industrials,"25,897.0","17,355.0","1,733.0","25,743.0","102,000",56.2,15.5,1.8,30/09/2011
333,320,Viacom,US,Media,"25,890.0","14,914.0","2,136.0","22,801.0","10,580",47.5,13.2,1.9,30/09/2011
334,374,Time Warner Cable,US,Media,"25,598.0","19,675.0","1,654.0","48,276.0","48,500",81.5,16.4,2.4,31/12/2011
335,393,General Mills,US,Food producers,"25,536.3","14,880.2","1,798.3","18,674.5","35,000",39.5,14.6,2.8,29/05/2011
336,395,FPL Group,US,Electricity,"25,422.0","14,827.0","1,923.0","57,188.0","4,700",61.1,13.3,3.6,31/12/2011
337,290,Hang Seng Bank,Hong Kong,Banks,"25,412.4",N/R,"2,147.6","125,588.5","9,834",13.3,11.9,5,31/12/2011
338,416,East Japan Railway,Japan,Travel & leisure,"25,323.5","30,524.4",917,"81,497.1","71,749",63.3,27.3,2.1,31/03/2011
339,296,Bharti Airtel,India,Mobile telecommunications,"25,187.6","13,350.4","1,357.5","31,879.1","23,371",6.6,18.4,0.3,31/03/2011
340,338,Newmont Mining,US,Mining,"25,132.2","10,358.0",366,"25,869.0","17,100",51.3,70.2,2,31/12/2011
341,444,Precision Castparts,US,Aerospace & defence,"25,098.6","6,220.1","1,013.5","8,955.9","18,300",172.9,24.7,0.1,04/03/2011
342,434,Shin-Etsu Chemical,Japan,Chemicals,"25,098.3","12,730.8","1,204.4","21,196.6","16,302",58.1,20.4,2.1,31/03/2011
343,368,Gazprom Neft,Russia,Oil & gas producers,"25,083.6","32,795.2","4,864.7","36,469.0",,5.3,5.1,4.3,31/12/2011
344,,LyondellBasell Industries,US,Chemicals,"25,072.5","47,298.7","1,978.7","22,819.1","14,000",43.7,12.5,0.6,31/12/2011
345,328,Wilmar International,Singapore,Food producers,"24,948.9","43,194.0","1,546.6","39,412.9","90,000",3.9,16.2,1.3,31/12/2011
346,388,Mitsubishi Estate,Japan,Real estate investment & services,"24,937.4",N/R,772.6,"50,999.5","8,001",17.9,32,0.8,31/03/2011
347,295,Carnival,US/UK,Travel & leisure,"24,902.8","15,793.0","1,912.0","38,637.0","91,300",32.1,13.3,3.1,30/11/2011
348,326,Inpex,Japan,Oil & gas producers,"24,832.6","11,345.3","1,548.3","31,917.6","1,854","6,792.6",13.8,1.1,31/03/2011
349,457,American Tower,US,Real estate investment trusts,"24,811.9",N/R,396.5,"11,986.8","2,122",63,63.7,,31/12/2011
350,427,Ace,US,Nonlife insurance,"24,679.6",N/R,"1,585.0","86,893.0","16,500",73.2,15.7,2,31/12/2011
351,311,Hyundai Mobis,South Korea,Automobiles & parts,"24,614.1","22,692.2","2,608.8","19,463.0","6,556",252.9,9.2,0.6,31/12/2011
352,310,Grupo Mexico,Mexico,Industrial metals & mining,"24,590.0","9,357.7","2,137.8","15,312.6","26,989",3.2,,,31/12/2011
353,349,Wellpoint,US,Health care equipment & services,"24,545.1","60,804.0","2,646.7","52,018.8","37,700",73.8,10.2,1.4,31/12/2011
354,336,Husky Energy,Canada,Oil & gas producers,"24,524.7","22,905.8","2,180.4","31,790.1","4,726",25.4,10.8,4.6,31/12/2011
355,282,Manulife Financial,Canada,Life insurance,"24,430.9",N/R,126.5,"451,317.6",,13.5,,3.8,31/12/2011
356,360,Oversea-Chinese Banking,Singapore,Banks,"24,411.5",N/R,"1,782.7","214,120.3","22,892",7.1,13.9,3.2,31/12/2011
357,,Fast Retailing,Japan,General retailers,"24,309.5","10,705.6",709.3,"6,869.0","14,612",229.2,32.8,1,31/08/2011
358,,Rolls-Royce,UK,Aerospace & defence,"24,290.0","17,273.4","1,319.9","24,930.2","40,400",13,18.3,,31/12/2011
359,389,The Swatch Group,Switzerland,Personal goods,"24,133.6","7,211.1","1,352.9","10,196.2","28,028",459.7,18.3,1.3,31/12/2011
360,257,Generali,Italy,Nonlife insurance,"24,132.1",N/R,"1,108.9","531,783.8","81,997",15.5,21.2,1.7,31/12/2011
361,,Centurylink,US,Fixed line telecommunications,"23,948.1","15,351.0",571,"56,139.0","49,200",38.7,36.1,7.5,31/12/2011
362,375,HDFC Bank,India,Banks,"23,939.3",N/R,896.3,"62,135.7","55,752",10.2,26.2,0.1,31/03/2011
363,266,Thomson Reuters,Canada,Media,"23,894.2","13,807.0","-1,390.0","32,426.0","60,500",28.9,,4.3,31/12/2011
364,379,Chunghwa Telecom,Taiwan,Fixed line telecommunications,"23,891.7","7,181.6","1,554.2","14,614.0","28,772",3.1,15.4,5.8,31/12/2011
365,267,Saint Gobain,France,Construction & materials,"23,880.8","54,554.5","1,663.2","58,659.5","192,933",44.6,14.1,3.6,31/12/2011
366,236,VTB Bank,Russia,Banks,"23,784.0",N/R,"2,775.9","209,491.2","67,912",0,,,31/12/2011
367,450,Reynolds American,US,Tobacco,"23,704.6","8,541.0","1,406.0","16,254.0","5,450",41.4,17.3,5.2,31/12/2011
368,,Public Storage,US,Real estate investment trusts,"23,679.5",N/R,823.8,"8,932.6","5,000",138.2,39.6,2.6,31/12/2011
369,441,Swiss RE,Switzerland,Nonlife insurance,"23,644.3",N/R,"2,460.1","214,062.4","10,788",63.8,8.8,5,31/12/2011
370,245,Mosaic,US,Chemicals,"23,523.8","9,937.8","2,514.6","15,780.4","7,700",55.3,9.8,0.4,31/05/2011
371,279,Newcrest Mining,Australia,Mining,"23,520.3","4,396.6",973.2,"18,276.5",,30.7,22.8,1,30/06/2011
372,,Siam Commercial Bank,Thailand,Banks,"23,491.4",N/R,"1,149.1","59,489.9",,4.7,13.7,2.4,31/12/2011
373,,Souza Cruz,Brazil,Tobacco,"23,459.0","2,979.2",860.3,"2,314.7","7,000",15.4,27.2,12,31/12/2011
374,,Uralkali,Russia,Chemicals,"23,384.1","3,177.6","1,076.2","12,628.0","23,000",7.6,18.9,1.6,31/12/2011
375,370,Cognizant Technology Solutions,US,Software & computer services,"23,344.8","6,121.2",883.6,"5,343.7","137,700",77,27,,31/12/2011
376,348,Great West Lifeco,Canada,Life insurance,"23,320.8",N/R,"2,076.5","232,968.1","17,450",24.6,11.7,4.9,31/12/2011
377,377,Falabella,Chile,General retailers,"23,296.3","9,279.0",812.3,"14,810.5","2,519",9.7,28.4,1.3,31/12/2011
378,356,Travelers Cos.,US,Nonlife insurance,"23,269.9",N/R,"1,415.0","104,595.0","30,600",59.2,17.6,2.7,31/12/2011
379,424,Deutsche Post,Germany,Industrial transportation,"23,240.0","68,431.5","1,506.5","48,257.9","423,502",19.2,15.4,4.7,31/12/2011
380,421,Naspers,South Africa,Media,"23,121.6","4,885.7",776.7,"10,194.8","15,932",56.2,27,0.7,31/03/2011
381,376,Standard Bank,South Africa,Banks,"23,095.2",N/R,"1,677.5","184,528.6","52,127",14.5,,3.7,31/12/2011
382,433,Cummins,US,Industrial engineering,"23,069.4","18,045.0","1,848.0","11,501.0","43,900",120,12.6,1.1,31/12/2011
383,331,CEZ,Czech Republic,Electricity,"23,016.6","10,616.0","2,062.7","30,228.4","31,420",42.8,,5.4,31/12/2011
384,394,United Overseas Bank,Singapore,Banks,"22,960.5",N/R,"1,794.1","182,439.4",,14.6,13.3,3.2,31/12/2011
385,244,Vivendi,France,Media,"22,854.1","37,322.6","3,472.8","70,334.4","58,400",18.3,6.5,7.1,31/12/2011
386,352,Norfolk Southern,US,Industrial transportation,"22,853.6","11,172.0","1,907.0","28,538.0","30,329",65.8,12.1,2.5,31/12/2011
387,,El Paso,US,Oil equipment & services,"22,838.0","4,587.0",141,"24,314.0","4,858",29.6,,0.1,31/12/2011
388,347,Industrial Bank,China,Banks,"22,812.7",N/R,"4,052.2","382,334.4","34,611",2.1,,2.8,31/12/2011
389,,Elektra,Mexico,General retailers,"22,762.7","3,727.7","2,143.5","12,659.0",,94.1,,0.1,31/12/2011
390,391,Saipem,Italy,Oil equipment & services,"22,758.6","15,684.0","1,193.0","20,404.2","40,388",51.6,18.9,1.8,31/12/2011
391,160,Societe Generale,France,Banks,"22,700.0",N/R,3060.9,1524343.2,"159,616",29.2,7,,31/12/2011
392,284,Panasonic,Japan,Leisure goods,"22,683.9","104,572.8",890.4,"90,140.2","366,937",9.3,21.5,1.3,31/03/2011
393,312,Tenaris,Italy,Industrial metals & mining,"22,480.4","9,242.4","1,233.7","14,628.9","26,980",19,18.1,1.9,31/12/2011
394,313,CSX,US,Industrial transportation,"22,361.2","11,743.0","1,823.0","29,473.0","31,000",21.5,12.9,2.1,30/12/2011
395,220,Marathon Oil,US,Oil & gas producers,"22,324.5","14,712.0","2,946.0","31,371.0","3,322",31.7,7.7,2.5,31/12/2011
396,,Coach,US,Personal goods,"22,238.7","4,158.5",880.8,"2,531.5","15,000",77.3,26.5,0.9,07/02/2011
397,430,Tokio Marine Holdings,Japan,Nonlife insurance,"22,201.5",N/R,865.3,"197,046.8","29,758",27.6,24.6,2.2,31/03/2011
398,413,State Street,US,Financial services,"22,197.1",N/R,"1,902.0","216,432.0","29,740",45.5,12,1.6,31/12/2011
399,429,Malayan Banking,Malaysia,Banks,"22,119.1",N/R,"1,629.7","141,915.0","42,000",2.9,13.2,4.8,31/12/2011
400,454,Tullow Oil,UK,Oil & gas producers,"22,103.0","2,223.6",626.3,"10,595.1",,24.4,,0.8,31/12/2011
401,322,Johnson Controls,US,Automobiles & parts,"22,100.9","40,833.0","1,624.0","27,821.0","162,000",32.5,13.8,2,30/09/2011
402,405,Kumba Iron Ore,South Africa,Industrial metals & mining,"22,075.4","6,001.6","2,106.6","4,172.5",,68.5,10.4,8,31/12/2011
403,,CBS,US,Media,"22,025.6","14,245.0","1,305.0","26,197.0","26,425",33.9,17.7,1,31/12/2011
404,458,Saudi Telecom,Saudi Arabia,Fixed line telecommunications,"22,024.1","14,843.4","2,061.0","29,556.0",,11,10.7,4.8,31/12/2011
405,,BB&T,US,Banks,"21,916.3",N/R,"1,289.0","173,937.0","31,800",31.4,17.2,2,31/12/2011
406,316,Telecom Italia,Italy,Fixed line telecommunications,"21,842.1","38,805.8","-6,119.0","108,576.4","84,154",1.2,,5.1,31/12/2011
407,406,Copec,Chile,Oil & gas producers,"21,704.3","19,499.6",861,"19,906.8",,16.7,25.3,1.7,31/12/2011
408,327,LG Chem,South Korea,Chemicals,"21,641.0","19,569.0","1,845.0","13,163.6",,326.6,12.9,1.1,31/12/2011
409,490,PPR,France,General retailers,"21,639.4","15,838.4","1,277.6","31,595.2","52,107",171.8,16.7,2.6,31/12/2011
410,468,McKesson,US,Food & drug retailers,"21,600.6","112,084.0","1,202.0","30,886.0","36,400",87.8,20.5,0.8,31/03/2011
411,240,Hyundai Heavy Industries,South Korea,Industrial engineering,"21,564.8","45,756.2","2,208.4","42,219.4",,283.8,7.1,1.2,31/12/2011
412,298,Fortum,Finland,Electricity,"21,530.4","7,980.6","2,291.5","29,595.9","10,780",24.2,9.4,5.4,31/12/2011
413,369,Aflac,US,Life insurance,"21,485.0",N/R,"1,964.0","117,102.0","8,284",46,11,2.7,31/12/2011
414,,Intuitive Surgical,US,Health care equipment & services,"21,467.1","1,757.3",495.1,"2,994.0","1,924",541.8,44,,31/12/2011
415,212,Nintendo,Japan,Leisure goods,"21,449.6","12,202.6",933.8,"19,239.3","4,712",151.4,20.7,3.6,31/03/2011
416,268,Corning,US,Technology hardware & equipment,"21,428.0","7,890.0","2,805.0","25,196.0","28,800",14.1,8,1.6,31/12/2011
417,449,Industries Qatar,Qatar,General industrials,"21,392.8","4,545.3","2,178.2","10,101.2",,38.9,9.8,5.3,31/12/2011
418,488,Bank Central Asia,Indonesia,Banks,"21,354.7",N/R,"1,190.1","41,922.1","19,962",0.9,17.4,,31/12/2011
419,371,Holcim,Switzerland,Construction & materials,"21,314.5","22,115.2",293.2,"44,844.4","80,967",65.2,70.8,1.6,31/12/2011
420,345,Wipro,India,Software & computer services,"21,233.3","6,971.7","1,189.3","8,306.0","120,000",8.6,17.6,1.5,31/03/2011
421,474,Fresenius Medical Care,Germany,Health care equipment & services,"21,226.6","11,858.3",992.7,"19,444.7","79,159",70.8,21.5,1.3,31/12/2011
422,,Salesforce.com,US,Software & computer services,"21,167.9","2,266.5",-11.6,"4,076.6","7,785",154.5,,,31/01/2012
423,386,Stryker,US,Health care equipment & services,"21,152.5","8,307.0","1,345.0","12,088.0","21,241",55.5,16.1,1.4,31/12/2011
424,417,Westfield Group,Australia,Real estate investment trusts,"21,121.4",N/R,"1,567.2","37,545.5",,9.1,13.5,5.5,31/12/2011
425,,Jiangsu Yanghe Brewery,China,Beverages,"21,028.1","2,024.3",638.9,"2,917.4","7,090",23.4,,1,31/12/2011
426,,Vodacom,South Africa,Mobile telecommunications,"20,968.3","9,037.0","1,217.5","6,055.2","7,481",14.1,17,4.8,31/03/2011
427,,Asml Holding,Netherlands,Technology hardware & equipment,"20,954.9","7,320.0","1,900.3","9,355.1","7,955",49.9,11.1,1.2,31/12/2011
428,403,Archer Daniels Midland,US,Food producers,"20,947.3","80,689.0","2,036.0","42,193.0","30,700",31.7,10.1,2,30/06/2011
429,396,Swisscom,Switzerland,Fixed line telecommunications,"20,913.0","12,225.0",728.2,"20,404.1","20,061",403.7,28.6,5.8,31/12/2011
430,366,DNB,Norway,Banks,"20,902.2",N/R,"2,166.1","354,717.2","14,072",12.8,9.6,2.7,31/12/2011
431,269,Sony,Japan,Leisure goods,"20,802.0","86,477.1","-3,122.8","152,605.4","168,200",20.7,,1.4,31/03/2011
432,404,Power Financial,Canada,Life insurance,"20,789.5",N/R,"1,790.2","234,790.7",,29.4,12.3,4.7,31/12/2011
433,464,Rogers Communications,Canada,Mobile telecommunications,"20,771.3","12,184.3","1,532.4","17,972.5","28,745",39.6,14,3.5,31/12/2011
434,492,CLP Holdings,Hong Kong,Electricity,"20,763.9","11,797.9","1,195.8","27,425.3","6,316",8.6,17.3,3.7,31/12/2011
435,440,MTR,Hong Kong,Travel & leisure,"20,714.2","4,303.2","1,894.7","25,472.7","21,295",3.6,10.9,2.8,31/12/2011
436,428,Thermo Fisher Scientific,US,Health care equipment & services,"20,626.8","11,725.9","1,329.9","26,833.7","39,300",56.4,21.2,,31/12/2011
437,,Spectra Energy,US,"Gas, water & multiutilities","20,588.2","5,351.0","1,184.0","28,138.0","5,700",31.6,17.4,3.4,31/12/2011
438,,Synthes,Switzerland,Health care equipment & services,"20,578.8","3,722.7",905.7,"8,491.3","12,005",173.3,22.6,1.1,31/12/2011
439,286,Teck Resources,Canada,Industrial metals & mining,"20,545.0","11,288.2","2,615.7","33,371.5","10,000",35.6,8,1.9,31/12/2011
440,442,Citic Securities,China,Financial services,"20,473.1",N/R,"1,998.2","23,345.2","13,260",2,10,3.5,31/12/2011
441,277,Philips Electronics,Netherlands,Leisure goods,"20,422.7","29,247.5","-1,677.5","35,301.9","121,888",20.2,,4.8,31/12/2011
442,271,Nokia,Finland,Technology hardware & equipment,"20,356.7","50,076.6","-1,507.8","44,504.0","130,050",5.4,,4.8,31/12/2011
443,,Hong Kong and China Gas,Hong Kong,"Gas, water & multiutilities","20,250.0","2,887.5",791.8,"10,955.2",,2.6,,2,31/12/2011
444,317,ICICI Bank,India,Banks,"20,141.6",N/R,"1,367.9","119,158.8",,17.5,14.6,1.8,31/03/2011
445,314,Hess,US,Oil & gas producers,"20,135.3","38,466.0","1,703.0","36,195.0","14,350",59,11.8,0.7,31/12/2011
446,,Scottish & Southern Energy,UK,Electricity,"20,059.8","45,407.3","2,411.1","34,116.4","20,249",21.2,8.2,5.7,31/03/2011
447,475,Reed Elsevier,Netherlands/UK,Media,"20,029.5","9,325.9","1,180.9","17,873.3","30,500",8.9,17.7,3.7,31/12/2011
448,461,Svenska Handelsbanken,Sweden,Banks,"19,909.4",N/R,"1,786.5","355,754.4","11,184",31.8,11,4.5,31/12/2011
449,,Bridgestone,Japan,Automobiles & parts,"19,819.9","39,286.4","1,337.6","33,549.3","143,124",24.4,14.3,1.2,31/12/2011
450,,Wuliangye Yibin,China,Beverages,"19,793.5","3,048.9",978.3,"5,860.9","29,276",5.2,,1.5,31/12/2011
451,,Compass Group,UK,Travel & leisure,"19,770.4","24,662.0","1,134.0","14,283.5","471,108",10.5,17.5,2.9,30/09/2011
452,466,Brookfield Asset Management,Canada,Financial services,"19,604.6",N/R,"1,891.7","88,911.8","23,000",31.5,10.9,1.6,31/12/2011
453,402,Housing Development Finance,India,Financial services,"19,519.9",N/R,"1,014.1","39,316.4","1,607",13.2,18.9,1.5,31/03/2011
454,,Astellas Pharma,Japan,Pharmaceuticals & biotechnology,"19,333.8","11,476.0",813.8,"15,432.1","16,279",41.3,23.3,3.7,31/03/2011
455,495,Air Products and Chemicals,US,Chemicals,"19,333.6","10,082.0","1,224.2","14,166.9","18,900",91.8,16.3,2.4,30/09/2011
456,,Industrias Penoles,Mexico,Industrial metals & mining,"19,249.7","6,941.3",914,"5,666.2",,48.4,,1.3,31/12/2011
457,465,CME Group,US,Financial services,"19,223.1",N/R,"1,812.3","40,758.7","2,740",289.3,10.7,1.9,31/12/2011
458,472,CSL,Australia,Pharmaceuticals & biotechnology,"19,208.3","4,488.3","1,008.2","5,245.2","10,411",37.2,20,2.3,30/06/2011
459,411,Emirates Telecommunications,UAE,Mobile telecommunications,"19,178.7","8,778.2","1,589.7","19,762.8",,2.4,12.2,6.6,31/12/2011
460,478,Kellogg,US,Food producers,"19,141.6","13,198.0","1,231.0","11,901.0","30,700",53.6,15.9,3.1,31/12/2011
461,,Sime Darby,Malaysia,General industrials,"19,106.3","13,860.7","1,213.4","13,985.0",,3.2,15.9,3.1,30/06/2011
462,,Broadcom,US,Technology hardware & equipment,"19,099.8","7,389.0",927,"9,040.0","9,590",39.3,23.8,0.9,31/12/2011
463,359,Mitsubishi Electric,Japan,Industrial engineering,"19,099.0","43,853.3","1,498.0","37,235.5","114,443",8.9,12.7,1.6,31/03/2011
464,363,Transocean,Switzerland,Oil equipment & services,"19,094.0","9,142.0","-5,725.0","35,088.0","18,700",54.5,,4.3,31/12/2011
465,,Firstenergy,US,Electricity,"19,066.5","16,258.0",885,"47,326.0","17,257",45.6,20.6,4.8,31/12/2011
466,447,Yahoo Japan,Japan,Software & computer services,"18,933.6","3,517.9","1,108.9","5,594.9","4,748",325.4,17,1.2,31/03/2011
467,,Continental,Germany,Automobiles & parts,"18,848.7","39,514.2","1,609.1","33,006.2","163,788",94.2,11.7,2.1,31/12/2011
468,,Essilor International,France,Health care equipment & services,"18,834.5","5,426.9",655,"7,845.2","48,700",89,28.1,1.2,31/12/2011
469,,Equity Residential Trust Properties,US,Real estate investment trusts,"18,801.1",N/R,893.6,"16,659.3","3,800",62.6,,2.5,31/12/2011
